node_id,text
217,Brevity is the soul of wit.
218,For ever and a day.
219,"I will speak daggers to her, but use none."
220,Now is the winter of our discontent.
221,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
222,How bitter a thing it is to look into happiness through another man's eyes!
223,Not stepping o'er the bounds of modesty.
224,"An honest tale speeds best, being plainly told."
225,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
226,The king's name is a tower of strength.
227,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
228,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
229,True is it that we have seen better days.
230,This above all: to thine own self be true.
231,A horse! a horse! my kingdom for a horse!.
232,For you and I are past our dancing days.
233,"A little more than kin, and less than kind."
234,Now is the winter of our discontent.
235,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
236,For ever and a day.
237,For you and I are past our dancing days.
238,"To be, or not to be: that is the question."
239,What's in a name? That which we call a rose by any other name would smell as sweet.
240,"It is the east, and Juliet is the sun."
241,"The world is grown so bad, that wrens make prey where eagles dare not perch."
242,Tempt not a desperate man.
243,A horse! a horse! my kingdom for a horse!.
244,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
245,Rich gifts wax poor when givers prove unkind.
246,What's in a name? That which we call a rose by any other name would smell as sweet.
247,"It is the east, and Juliet is the sun."
248,Brevity is the soul of wit.
249,How bitter a thing it is to look into happiness through another man's eyes!
250,This above all: to thine own self be true.
251,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
252,"Though this be madness, yet there is method in 't."
253,"It is the east, and Juliet is the sun."
254,How bitter a thing it is to look into happiness through another man's eyes!
255,"The fool doth think he is wise, but the wise man knows himself to be a fool."
256,"An honest tale speeds best, being plainly told."
257,"So wise so young, they say, do never live long."
258,In my mind's eye.
259,A horse! a horse! my kingdom for a horse!.
260,Can one desire too much of a good thing?.
261,How bitter a thing it is to look into happiness through another man's eyes!
262,For ever and a day.
263,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
264,The king's name is a tower of strength.
265,That it should come to this!.
266,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
267,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
268,Can one desire too much of a good thing?.
269,For ever and a day.
270,O! she doth teach the torches to burn bright.
271,Can one desire too much of a good thing?.
272,"Though this be madness, yet there is method in 't."
273,The play 's the thing wherein I'll catch the conscience of the king.
274,For ever and a day.
275,I like this place and willingly could waste my time in it.
276,Rich gifts wax poor when givers prove unkind.
277,O! she doth teach the torches to burn bright.
278,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
279,For you and I are past our dancing days.
280,"The world is grown so bad, that wrens make prey where eagles dare not perch."
281,I like this place and willingly could waste my time in it.
282,"The fool doth think he is wise, but the wise man knows himself to be a fool."
283,O! she doth teach the torches to burn bright.
284,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
285,"O Romeo, Romeo! wherefore art thou Romeo?."
286,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
287,"The fool doth think he is wise, but the wise man knows himself to be a fool."
288,A horse! a horse! my kingdom for a horse!.
289,Can one desire too much of a good thing?.
290,"When sorrows come, they come not single spies, but in battalions."
291,A horse! a horse! my kingdom for a horse!.
292,For you and I are past our dancing days.
293,In my mind's eye.
294,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
295,"A little more than kin, and less than kind."
296,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
297,"A little more than kin, and less than kind."
298,Do you think I am easier to be played on than a pipe?
299,Now is the winter of our discontent.
300,"The fool doth think he is wise, but the wise man knows himself to be a fool."
301,In my mind's eye.
302,Now is the winter of our discontent.
303,"There is nothing either good or bad, but thinking makes it so."
304,Rich gifts wax poor when givers prove unkind.
305,What's in a name? That which we call a rose by any other name would smell as sweet.
306,"The lady doth protest too much, methinks."
307,O! she doth teach the torches to burn bright.
308,"A little more than kin, and less than kind."
309,For you and I are past our dancing days.
310,That it should come to this!.
311,"The world is grown so bad, that wrens make prey where eagles dare not perch."
312,"To be, or not to be: that is the question."
313,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
314,"An honest tale speeds best, being plainly told."
315,How bitter a thing it is to look into happiness through another man's eyes!
316,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
317,A horse! a horse! my kingdom for a horse!.
318,"It is the east, and Juliet is the sun."
319,Now is the winter of our discontent.
320,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
321,"An honest tale speeds best, being plainly told."
322,I like this place and willingly could waste my time in it.
323,"The world is grown so bad, that wrens make prey where eagles dare not perch."
324,"An honest tale speeds best, being plainly told."
325,How bitter a thing it is to look into happiness through another man's eyes!
326,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
327,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
328,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
329,Off with his head!
330,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
331,"An honest tale speeds best, being plainly told."
332,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
333,"O Romeo, Romeo! wherefore art thou Romeo?."
334,A horse! a horse! my kingdom for a horse!.
335,How bitter a thing it is to look into happiness through another man's eyes!
336,The king's name is a tower of strength.
337,"O Romeo, Romeo! wherefore art thou Romeo?."
338,That it should come to this!.
339,"A little more than kin, and less than kind."
340,Wisely and slow; they stumble that run fast.
341,A horse! a horse! my kingdom for a horse!.
342,"And it must follow, as the night the day, thou canst not then be false to any man."
343,Can one desire too much of a good thing?.
344,"The lady doth protest too much, methinks."
345,True is it that we have seen better days.
346,The play 's the thing wherein I'll catch the conscience of the king.
347,In my mind's eye.
348,O! she doth teach the torches to burn bright.
349,Off with his head!
350,"The fool doth think he is wise, but the wise man knows himself to be a fool."
351,For you and I are past our dancing days.
352,Tempt not a desperate man.
353,"The world is grown so bad, that wrens make prey where eagles dare not perch."
354,The king's name is a tower of strength.
355,True is it that we have seen better days.
356,O! she doth teach the torches to burn bright.
357,I like this place and willingly could waste my time in it.
358,That it should come to this!.
359,Can one desire too much of a good thing?.
360,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
361,Tempt not a desperate man.
362,A horse! a horse! my kingdom for a horse!.
363,A horse! a horse! my kingdom for a horse!.
364,True is it that we have seen better days.
365,"It is the east, and Juliet is the sun."
366,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
367,How bitter a thing it is to look into happiness through another man's eyes!
368,"So wise so young, they say, do never live long."
369,"An honest tale speeds best, being plainly told."
370,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
371,"A little more than kin, and less than kind."
372,"There is nothing either good or bad, but thinking makes it so."
373,"I will speak daggers to her, but use none."
374,Can one desire too much of a good thing?.
375,What's in a name? That which we call a rose by any other name would smell as sweet.
376,O! she doth teach the torches to burn bright.
377,Can one desire too much of a good thing?.
378,Brevity is the soul of wit.
379,"It is the east, and Juliet is the sun."
380,Can one desire too much of a good thing?.
381,"When sorrows come, they come not single spies, but in battalions."
382,"The world is grown so bad, that wrens make prey where eagles dare not perch."
383,O! she doth teach the torches to burn bright.
384,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
385,"So wise so young, they say, do never live long."
386,"I will speak daggers to her, but use none."
387,"So wise so young, they say, do never live long."
388,Now is the winter of our discontent.
389,What's in a name? That which we call a rose by any other name would smell as sweet.
390,"The fool doth think he is wise, but the wise man knows himself to be a fool."
391,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
392,Wisely and slow; they stumble that run fast.
393,This above all: to thine own self be true.
394,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
395,The king's name is a tower of strength.
396,Rich gifts wax poor when givers prove unkind.
397,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
398,A horse! a horse! my kingdom for a horse!.
399,"O Romeo, Romeo! wherefore art thou Romeo?."
400,Can one desire too much of a good thing?.
401,Brevity is the soul of wit.
402,"The fool doth think he is wise, but the wise man knows himself to be a fool."
403,"And it must follow, as the night the day, thou canst not then be false to any man."
404,"It is the east, and Juliet is the sun."
405,"So wise so young, they say, do never live long."
406,Not stepping o'er the bounds of modesty.
407,For ever and a day.
408,"So wise so young, they say, do never live long."
409,How bitter a thing it is to look into happiness through another man's eyes!
410,"An honest tale speeds best, being plainly told."
411,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
412,"When sorrows come, they come not single spies, but in battalions."
413,The king's name is a tower of strength.
414,That it should come to this!.
415,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
416,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
417,"To be, or not to be: that is the question."
418,Not stepping o'er the bounds of modesty.
419,For ever and a day.
420,For ever and a day.
421,"An honest tale speeds best, being plainly told."
422,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
423,The play 's the thing wherein I'll catch the conscience of the king.
424,I like this place and willingly could waste my time in it.
425,"So wise so young, they say, do never live long."
426,Do you think I am easier to be played on than a pipe?
427,Not stepping o'er the bounds of modesty.
428,"Though this be madness, yet there is method in 't."
429,Can one desire too much of a good thing?.
430,What's in a name? That which we call a rose by any other name would smell as sweet.
431,"An honest tale speeds best, being plainly told."
432,Can one desire too much of a good thing?.
433,"An honest tale speeds best, being plainly told."
434,Off with his head!
435,"A little more than kin, and less than kind."
436,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
437,"When sorrows come, they come not single spies, but in battalions."
438,In my mind's eye.
439,Wisely and slow; they stumble that run fast.
440,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
441,"It is the east, and Juliet is the sun."
442,O! she doth teach the torches to burn bright.
443,The play 's the thing wherein I'll catch the conscience of the king.
444,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
445,Wisely and slow; they stumble that run fast.
446,"I will speak daggers to her, but use none."
447,True is it that we have seen better days.
448,Now is the winter of our discontent.
449,"The fool doth think he is wise, but the wise man knows himself to be a fool."
450,O! she doth teach the torches to burn bright.
451,Do you think I am easier to be played on than a pipe?
452,Can one desire too much of a good thing?.
453,The play 's the thing wherein I'll catch the conscience of the king.
454,"And it must follow, as the night the day, thou canst not then be false to any man."
455,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
456,That it should come to this!.
457,The king's name is a tower of strength.
458,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
459,The king's name is a tower of strength.
460,"An honest tale speeds best, being plainly told."
461,For ever and a day.
462,"The lady doth protest too much, methinks."
463,That it should come to this!.
464,Not stepping o'er the bounds of modesty.
465,"So wise so young, they say, do never live long."
466,Tempt not a desperate man.
467,A horse! a horse! my kingdom for a horse!.
468,Do you think I am easier to be played on than a pipe?
469,"When sorrows come, they come not single spies, but in battalions."
470,A horse! a horse! my kingdom for a horse!.
471,"There is nothing either good or bad, but thinking makes it so."
472,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
473,"The fool doth think he is wise, but the wise man knows himself to be a fool."
474,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
475,The play 's the thing wherein I'll catch the conscience of the king.
476,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
477,In my mind's eye.
478,"O Romeo, Romeo! wherefore art thou Romeo?."
479,"So wise so young, they say, do never live long."
480,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
481,For ever and a day.
482,"The lady doth protest too much, methinks."
483,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
484,The king's name is a tower of strength.
485,Off with his head!
486,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
487,The play 's the thing wherein I'll catch the conscience of the king.
488,Rich gifts wax poor when givers prove unkind.
489,For you and I are past our dancing days.
490,A horse! a horse! my kingdom for a horse!.
491,Can one desire too much of a good thing?.
492,"A little more than kin, and less than kind."
493,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
494,"An honest tale speeds best, being plainly told."
495,"The fool doth think he is wise, but the wise man knows himself to be a fool."
496,For ever and a day.
497,O! she doth teach the torches to burn bright.
498,"To be, or not to be: that is the question."
499,"An honest tale speeds best, being plainly told."
500,For ever and a day.
501,"So wise so young, they say, do never live long."
502,"It is the east, and Juliet is the sun."
503,This above all: to thine own self be true.
504,O! she doth teach the torches to burn bright.
505,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
506,"To be, or not to be: that is the question."
507,Can one desire too much of a good thing?.
508,Brevity is the soul of wit.
509,"Though this be madness, yet there is method in 't."
510,"The fool doth think he is wise, but the wise man knows himself to be a fool."
511,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
512,How bitter a thing it is to look into happiness through another man's eyes!
513,Can one desire too much of a good thing?.
514,True is it that we have seen better days.
515,True is it that we have seen better days.
516,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
517,That it should come to this!.
518,"It is the east, and Juliet is the sun."
519,The play 's the thing wherein I'll catch the conscience of the king.
520,True is it that we have seen better days.
521,Wisely and slow; they stumble that run fast.
522,"O Romeo, Romeo! wherefore art thou Romeo?."
523,The king's name is a tower of strength.
524,"It is the east, and Juliet is the sun."
525,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
526,For ever and a day.
527,I like this place and willingly could waste my time in it.
528,What's in a name? That which we call a rose by any other name would smell as sweet.
529,"Though this be madness, yet there is method in 't."
530,What's in a name? That which we call a rose by any other name would smell as sweet.
531,The play 's the thing wherein I'll catch the conscience of the king.
532,"There is nothing either good or bad, but thinking makes it so."
533,Not stepping o'er the bounds of modesty.
534,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
535,"The fool doth think he is wise, but the wise man knows himself to be a fool."
536,"The fool doth think he is wise, but the wise man knows himself to be a fool."
537,Can one desire too much of a good thing?.
538,"The world is grown so bad, that wrens make prey where eagles dare not perch."
539,O! she doth teach the torches to burn bright.
540,"An honest tale speeds best, being plainly told."
541,"To be, or not to be: that is the question."
542,"The world is grown so bad, that wrens make prey where eagles dare not perch."
543,"So wise so young, they say, do never live long."
544,Can one desire too much of a good thing?.
545,The play 's the thing wherein I'll catch the conscience of the king.
546,Off with his head!
547,Rich gifts wax poor when givers prove unkind.
548,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
549,That it should come to this!.
550,The king's name is a tower of strength.
551,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
552,"The fool doth think he is wise, but the wise man knows himself to be a fool."
553,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
554,For you and I are past our dancing days.
555,This above all: to thine own self be true.
556,Do you think I am easier to be played on than a pipe?
557,"An honest tale speeds best, being plainly told."
558,Can one desire too much of a good thing?.
559,Off with his head!
560,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
561,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
562,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
563,Rich gifts wax poor when givers prove unkind.
564,Brevity is the soul of wit.
565,"Though this be madness, yet there is method in 't."
566,O! she doth teach the torches to burn bright.
567,"A little more than kin, and less than kind."
568,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
569,The king's name is a tower of strength.
570,Off with his head!
571,Off with his head!
572,Do you think I am easier to be played on than a pipe?
573,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
574,"O Romeo, Romeo! wherefore art thou Romeo?."
575,"I will speak daggers to her, but use none."
576,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
577,How bitter a thing it is to look into happiness through another man's eyes!
578,This above all: to thine own self be true.
579,"The world is grown so bad, that wrens make prey where eagles dare not perch."
580,Now is the winter of our discontent.
581,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
582,A horse! a horse! my kingdom for a horse!.
583,"The fool doth think he is wise, but the wise man knows himself to be a fool."
584,True is it that we have seen better days.
585,"The lady doth protest too much, methinks."
586,"O Romeo, Romeo! wherefore art thou Romeo?."
587,"The lady doth protest too much, methinks."
588,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
589,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
590,For ever and a day.
591,Off with his head!
592,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
593,"An honest tale speeds best, being plainly told."
594,True is it that we have seen better days.
595,O! she doth teach the torches to burn bright.
596,Now is the winter of our discontent.
597,Now is the winter of our discontent.
598,"The world is grown so bad, that wrens make prey where eagles dare not perch."
599,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
600,How bitter a thing it is to look into happiness through another man's eyes!
601,Wisely and slow; they stumble that run fast.
602,O! she doth teach the torches to burn bright.
603,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
604,I like this place and willingly could waste my time in it.
605,This above all: to thine own self be true.
606,Tempt not a desperate man.
607,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
608,"It is the east, and Juliet is the sun."
609,True is it that we have seen better days.
610,Now is the winter of our discontent.
611,"It is the east, and Juliet is the sun."
612,For ever and a day.
613,"The lady doth protest too much, methinks."
614,How bitter a thing it is to look into happiness through another man's eyes!
615,Now is the winter of our discontent.
616,"The fool doth think he is wise, but the wise man knows himself to be a fool."
617,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
618,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
619,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
620,"Though this be madness, yet there is method in 't."
621,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
622,"So wise so young, they say, do never live long."
623,"An honest tale speeds best, being plainly told."
624,O! she doth teach the torches to burn bright.
625,This above all: to thine own self be true.
626,Tempt not a desperate man.
627,Brevity is the soul of wit.
628,"So wise so young, they say, do never live long."
629,"An honest tale speeds best, being plainly told."
630,"A little more than kin, and less than kind."
631,"It is the east, and Juliet is the sun."
632,"A little more than kin, and less than kind."
633,Wisely and slow; they stumble that run fast.
634,Can one desire too much of a good thing?.
635,That it should come to this!.
636,"So wise so young, they say, do never live long."
637,"O Romeo, Romeo! wherefore art thou Romeo?."
638,For you and I are past our dancing days.
639,"The world is grown so bad, that wrens make prey where eagles dare not perch."
640,In my mind's eye.
641,"There is nothing either good or bad, but thinking makes it so."
642,Now is the winter of our discontent.
643,The king's name is a tower of strength.
644,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
645,O! she doth teach the torches to burn bright.
646,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
647,Off with his head!
648,"To be, or not to be: that is the question."
649,"It is the east, and Juliet is the sun."
650,"There is nothing either good or bad, but thinking makes it so."
651,"O Romeo, Romeo! wherefore art thou Romeo?."
652,"So wise so young, they say, do never live long."
653,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
654,Wisely and slow; they stumble that run fast.
655,Off with his head!
656,"And it must follow, as the night the day, thou canst not then be false to any man."
657,Now is the winter of our discontent.
658,The king's name is a tower of strength.
659,Off with his head!
660,I like this place and willingly could waste my time in it.
661,"When sorrows come, they come not single spies, but in battalions."
662,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
663,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
664,Can one desire too much of a good thing?.
665,How bitter a thing it is to look into happiness through another man's eyes!
666,For ever and a day.
667,A horse! a horse! my kingdom for a horse!.
668,"The lady doth protest too much, methinks."
669,How bitter a thing it is to look into happiness through another man's eyes!
670,O! she doth teach the torches to burn bright.
671,How bitter a thing it is to look into happiness through another man's eyes!
672,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
673,"So wise so young, they say, do never live long."
674,The king's name is a tower of strength.
675,"So wise so young, they say, do never live long."
676,"The fool doth think he is wise, but the wise man knows himself to be a fool."
677,"I will speak daggers to her, but use none."
678,Do you think I am easier to be played on than a pipe?
679,Now is the winter of our discontent.
680,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
681,Now is the winter of our discontent.
682,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
683,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
684,Rich gifts wax poor when givers prove unkind.
685,How bitter a thing it is to look into happiness through another man's eyes!
686,How bitter a thing it is to look into happiness through another man's eyes!
687,Now is the winter of our discontent.
688,That it should come to this!.
689,How bitter a thing it is to look into happiness through another man's eyes!
690,How bitter a thing it is to look into happiness through another man's eyes!
691,Can one desire too much of a good thing?.
692,Do you think I am easier to be played on than a pipe?
693,The king's name is a tower of strength.
694,A horse! a horse! my kingdom for a horse!.
695,Can one desire too much of a good thing?.
696,O! she doth teach the torches to burn bright.
697,"O Romeo, Romeo! wherefore art thou Romeo?."
698,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
699,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
700,A horse! a horse! my kingdom for a horse!.
701,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
702,A horse! a horse! my kingdom for a horse!.
703,For ever and a day.
704,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
705,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
706,How bitter a thing it is to look into happiness through another man's eyes!
707,For ever and a day.
708,Now is the winter of our discontent.
709,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
710,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
711,How bitter a thing it is to look into happiness through another man's eyes!
712,In my mind's eye.
713,I like this place and willingly could waste my time in it.
714,A horse! a horse! my kingdom for a horse!.
715,I like this place and willingly could waste my time in it.
716,A horse! a horse! my kingdom for a horse!.
717,"So wise so young, they say, do never live long."
718,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
719,How bitter a thing it is to look into happiness through another man's eyes!
720,"When sorrows come, they come not single spies, but in battalions."
721,"An honest tale speeds best, being plainly told."
722,For you and I are past our dancing days.
723,The king's name is a tower of strength.
724,"The fool doth think he is wise, but the wise man knows himself to be a fool."
725,Can one desire too much of a good thing?.
726,I like this place and willingly could waste my time in it.
727,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
728,Do you think I am easier to be played on than a pipe?
729,Brevity is the soul of wit.
730,O! she doth teach the torches to burn bright.
731,Now is the winter of our discontent.
732,"The world is grown so bad, that wrens make prey where eagles dare not perch."
733,"It is the east, and Juliet is the sun."
734,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
735,"To be, or not to be: that is the question."
736,"When sorrows come, they come not single spies, but in battalions."
737,For you and I are past our dancing days.
738,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
739,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
740,The king's name is a tower of strength.
741,Off with his head!
742,This above all: to thine own self be true.
743,"To be, or not to be: that is the question."
744,For ever and a day.
